author,communityId,publications
H. Phatnani,1983,"An RNA-Sequencing Transcriptome and Splicing Database of Glia, Neurons, and Vascular Cells of the Cerebral Cortex"
P. Guarnieri,1984,"An RNA-Sequencing Transcriptome and Splicing Database of Glia, Neurons, and Vascular Cells of the Cerebral Cortex"
Christine Caneda,1985,"An RNA-Sequencing Transcriptome and Splicing Database of Glia, Neurons, and Vascular Cells of the Cerebral Cortex"
N. Ruderisch,1986,"An RNA-Sequencing Transcriptome and Splicing Database of Glia, Neurons, and Vascular Cells of the Cerebral Cortex"
Shuyun Deng,1987,"An RNA-Sequencing Transcriptome and Splicing Database of Glia, Neurons, and Vascular Cells of the Cerebral Cortex"
S. A. Liddelow,1988,"An RNA-Sequencing Transcriptome and Splicing Database of Glia, Neurons, and Vascular Cells of the Cerebral Cortex"
Chaolin Zhang,1989,"An RNA-Sequencing Transcriptome and Splicing Database of Glia, Neurons, and Vascular Cells of the Cerebral Cortex"
R. Daneman,1990,"An RNA-Sequencing Transcriptome and Splicing Database of Glia, Neurons, and Vascular Cells of the Cerebral Cortex"
T. Maniatis,1991,"An RNA-Sequencing Transcriptome and Splicing Database of Glia, Neurons, and Vascular Cells of the Cerebral Cortex"
B. Barres,1992,"An RNA-Sequencing Transcriptome and Splicing Database of Glia, Neurons, and Vascular Cells of the Cerebral Cortex; A Transcriptome Database for Astrocytes, Neurons, and Oligodendrocytes: A New Resource for Understanding Brain Development and Function; Genomic Analysis of Reactive Astrogliosis"
Jian Wu,1993,"An RNA-Sequencing Transcriptome and Splicing Database of Glia, Neurons, and Vascular Cells of the Cerebral Cortex"
T. Mitchell,1994,An improved method of constructing a database of monthly climate observations and associated high‐resolution grids
P. Jones,1995,An improved method of constructing a database of monthly climate observations and associated high‐resolution grids
Sunghwan Kim,1996,PubChem Substance and Compound databases
P. Thiessen,1997,PubChem Substance and Compound databases
Jie Chen,1998,PubChem Substance and Compound databases
Gang Fu,1999,PubChem Substance and Compound databases
A. Gindulyte,2000,PubChem Substance and Compound databases
Lianyi Han,2001,PubChem Substance and Compound databases; CDD/SPARCLE: functional classification of proteins via subfamily domain architectures
Jane He,2002,PubChem Substance and Compound databases; CDD: NCBI's conserved domain database; CDD/SPARCLE: functional classification of proteins via subfamily domain architectures
Siqian He,2003,PubChem Substance and Compound databases
Benjamin A. Shoemaker,2004,PubChem Substance and Compound databases
Jiyao Wang,2005,PubChem Substance and Compound databases; CDD/SPARCLE: the conserved domain database in 2020
Bo Yu,2006,PubChem Substance and Compound databases; CDD/SPARCLE: functional classification of proteins via subfamily domain architectures
Jian Zhang,2007,PubChem Substance and Compound databases
C. Maher,2008,Reliability of the PEDro scale for rating quality of randomized controlled trials.
C. Sherrington,2009,Reliability of the PEDro scale for rating quality of randomized controlled trials.
R. Herbert,2010,Reliability of the PEDro scale for rating quality of randomized controlled trials.
A. Moseley,2011,Reliability of the PEDro scale for rating quality of randomized controlled trials.
M. Elkins,2012,Reliability of the PEDro scale for rating quality of randomized controlled trials.
D. Nistér,2013,Scalable Recognition with a Vocabulary Tree
Henrik Stewénius,2014,Scalable Recognition with a Vocabulary Tree
Christian Schüldt,2015,Recognizing human actions: a local SVM approach
I. Laptev,2016,Recognizing human actions: a local SVM approach
B. Caputo,2017,Recognizing human actions: a local SVM approach
A. Yao,2018,Protocols for secure computations
Aleix M. Martinez,2019,The AR face database
M. Arnold,2020,Global patterns and trends in colorectal cancer incidence and mortality
M. Sierra,2021,Global patterns and trends in colorectal cancer incidence and mortality
M. Laversanne,2022,Global patterns and trends in colorectal cancer incidence and mortality
A. Jemal,2023,"Global patterns and trends in colorectal cancer incidence and mortality; Cancer treatment and survivorship statistics, 2012; Cancer treatment and survivorship statistics, 2014"
Jacob Cohen,2024,The earth is round (p < .05)
Ryan J. Anderson,2025,The prevalence of comorbid depression in adults with diabetes: a meta-analysis.; Depression and poor glycemic control: a meta-analytic review of the literature.
K. Freedland,2026,The prevalence of comorbid depression in adults with diabetes: a meta-analysis.; Depression and poor glycemic control: a meta-analytic review of the literature.; Association of Depression and Diabetes Complications: A Meta-Analysis
R. Clouse,2027,The prevalence of comorbid depression in adults with diabetes: a meta-analysis.; Depression and poor glycemic control: a meta-analytic review of the literature.; Association of Depression and Diabetes Complications: A Meta-Analysis
P. Lustman,2028,The prevalence of comorbid depression in adults with diabetes: a meta-analysis.; Depression and poor glycemic control: a meta-analytic review of the literature.; Association of Depression and Diabetes Complications: A Meta-Analysis
Bryan C. Russell,2029,LabelMe: A Database and Web-Based Tool for Image Annotation
A. Torralba,2030,LabelMe: A Database and Web-Based Tool for Image Annotation; Places: A 10 Million Image Database for Scene Recognition; SUN database: Large-scale scene recognition from abbey to zoo; Learning Deep Features for Scene Recognition using Places Database; Learning to predict where humans look; SIFT Flow: Dense Correspondence across Scenes and Its Applications
Kevin P. Murphy,2031,LabelMe: A Database and Web-Based Tool for Image Annotation
W. Freeman,2032,LabelMe: A Database and Web-Based Tool for Image Annotation
Chakradhar Bandla,2033,The PRIDE database resources in 2022: a hub for mass spectrometry-based proteomics evidences
D. García-Seisdedos,2034,The PRIDE database resources in 2022: a hub for mass spectrometry-based proteomics evidences
Selvakumar Kamatchinathan,2035,The PRIDE database resources in 2022: a hub for mass spectrometry-based proteomics evidences
Ananth Prakash,2036,The PRIDE database resources in 2022: a hub for mass spectrometry-based proteomics evidences
Anika Frericks-Zipper,2037,The PRIDE database resources in 2022: a hub for mass spectrometry-based proteomics evidences
Shengbo Wang,2038,The PRIDE database resources in 2022: a hub for mass spectrometry-based proteomics evidences
Martin Parry,2039,"Climate change 2007: Impacts, Adaptation and Vulnerability. Contribution of Working Group II to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change. Summary for Policymakers."
O. Canziani,2040,"Climate change 2007: Impacts, Adaptation and Vulnerability. Contribution of Working Group II to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change. Summary for Policymakers."
J. Palutikof,2041,"Climate change 2007: Impacts, Adaptation and Vulnerability. Contribution of Working Group II to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change. Summary for Policymakers."
Paul van der Linden,2042,"Climate change 2007: Impacts, Adaptation and Vulnerability. Contribution of Working Group II to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change. Summary for Policymakers."
C. Hanson,2043,"Climate change 2007: Impacts, Adaptation and Vulnerability. Contribution of Working Group II to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change. Summary for Policymakers."
Michael Y. Galperin,2044,The COG database: a tool for genome-scale analysis of protein functions and evolution; The COG database: new developments in phylogenetic classification of proteins from complete genomes
Bolei Zhou,2045,Places: A 10 Million Image Database for Scene Recognition; Learning Deep Features for Scene Recognition using Places Database
Àgata Lapedriza,2046,Places: A 10 Million Image Database for Scene Recognition; Learning Deep Features for Scene Recognition using Places Database
A. Khosla,2047,Places: A 10 Million Image Database for Scene Recognition
A. Oliva,2048,Places: A 10 Million Image Database for Scene Recognition; SUN database: Large-scale scene recognition from abbey to zoo; Learning Deep Features for Scene Recognition using Places Database
D. M. Parkin,2049,Estimating the world cancer burden: Globocan 2000
P. Pisani,2050,Estimating the world cancer burden: Globocan 2000
Z. Pawlak,2051,Rough sets
J. Grzymala-Busse,2052,Rough sets
R. Słowiński,2053,Rough sets
W. Ziarko,2054,Rough sets
R. Overbeek,2055,The SEED and the Rapid Annotation of microbial genomes using Subsystems Technology (RAST)
R. Olson,2056,The SEED and the Rapid Annotation of microbial genomes using Subsystems Technology (RAST)
G. Pusch,2057,The SEED and the Rapid Annotation of microbial genomes using Subsystems Technology (RAST)
G. Olsen,2058,The SEED and the Rapid Annotation of microbial genomes using Subsystems Technology (RAST)
James J. Davis,2059,The SEED and the Rapid Annotation of microbial genomes using Subsystems Technology (RAST)
T. Disz,2060,The SEED and the Rapid Annotation of microbial genomes using Subsystems Technology (RAST)
R. Edwards,2061,The SEED and the Rapid Annotation of microbial genomes using Subsystems Technology (RAST)
S. Gerdes,2062,The SEED and the Rapid Annotation of microbial genomes using Subsystems Technology (RAST)
B. Parrello,2063,The SEED and the Rapid Annotation of microbial genomes using Subsystems Technology (RAST)
Maulik Shukla,2064,The SEED and the Rapid Annotation of microbial genomes using Subsystems Technology (RAST)
Veronika Vonstein,2065,The SEED and the Rapid Annotation of microbial genomes using Subsystems Technology (RAST)
A. Wattam,2066,The SEED and the Rapid Annotation of microbial genomes using Subsystems Technology (RAST)
Fangfang Xia,2067,The SEED and the Rapid Annotation of microbial genomes using Subsystems Technology (RAST)
Rick L. Stevens,2068,The SEED and the Rapid Annotation of microbial genomes using Subsystems Technology (RAST)
Neils Larsen,2069,"Greengenes, a Chimera-Checked 16S rRNA Gene Database and Workbench Compatible with ARB"
Mark Rojas,2070,"Greengenes, a Chimera-Checked 16S rRNA Gene Database and Workbench Compatible with ARB"
Keith Keller,2071,"Greengenes, a Chimera-Checked 16S rRNA Gene Database and Workbench Compatible with ARB"
Thomas Huber,2072,"Greengenes, a Chimera-Checked 16S rRNA Gene Database and Workbench Compatible with ARB"
Daniel Dalevi,2073,"Greengenes, a Chimera-Checked 16S rRNA Gene Database and Workbench Compatible with ARB"
Ping Hu,2074,"Greengenes, a Chimera-Checked 16S rRNA Gene Database and Workbench Compatible with ARB"
Gary L. Andersen,2075,"Greengenes, a Chimera-Checked 16S rRNA Gene Database and Workbench Compatible with ARB"
C. Xie,2076,KOBAS 2.0: a web server for annotation and identification of enriched pathways and diseases
X. Mao,2077,KOBAS 2.0: a web server for annotation and identification of enriched pathways and diseases
